# ----------------------------------------
# Google 自然搜索流量: 着陆页 + 查询字符串
# 账号：pixelcircle
# 媒体资源：pixelcircle.online
# ----------------------------------------
# 
# 所有用户
# 开始日期：20260825
# 结束日期：20260921
着陆页 + 查询字符串,Google 搜索自然点击次数,Google 搜索自然展示次数,Google 搜索自然点击率,Google 搜索自然平均排名,活跃用户,感兴趣的会话数,感兴趣的会话占比,每位活跃用户的平均互动时长,事件数,关键事件数,广告收入
/pl/oval/101/51/,0,4,0,45.5,0,0,0,0,0,0,0
/pl/oval/15/7/,0,4,0,36.75,0,0,0,0,0,0,0
/pl/torus/21/4/,0,3,0,32.66666666666667,0,0,0,0,0,0,0
/privacy/,0,4,0,2.75,0,0,0,0,0,0,0
/pt/circle/15/,0,10,0,18.1,0,0,0,0,0,0,0
/pt/circle/33/,0,15,0,7.6,0,0,0,0,0,0,0
/pt/circle/41/,0,20,0,19.3,0,0,0,0,0,0,0
/pt/ellipsoid/15/11/7/,0,1,0,58,0,0,0,0,0,0,0
/pt/oval/15/7/,0,4,0,40.75,0,0,0,0,0,0,0
/ru/circle/15/,0,24,0,7,0,0,0,0,0,0,0
/ru/sphere/101/,0,1,0,4,0,0,0,0,0,0,0
/sphere/101/,0,8,0,35.25,0,0,0,0,0,0,0
/torus/21/4/,0,1,0,10,0,0,0,0,0,0,0
/torus/33/6/,0,1,0,9,0,0,0,0,0,0,0
/tr/circle/17/,0,6,0,30,0,0,0,0,0,0,0
/tr/ellipsoid/33/21/13/,0,4,0,48.5,0,0,0,0,0,0,0
/tr/oval/121/61/,0,3,0,47.666666666666664,0,0,0,0,0,0,0
/tr/oval/15/7/,0,5,0,40,0,0,0,0,0,0,0
/tr/torus/21/4/,0,4,0,50,0,0,0,0,0,0,0
/zh/,0,19,0,8,0,0,0,0,0,0,0
/zh/circle/15/,0,8,0,9.375,0,0,0,0,0,0,0
/zh/circle/21/,0,17,0,7.9411764705882355,0,0,0,0,0,0,0
/zh/ellipsoid/33/21/13/,0,2,0,57,0,0,0,0,0,0,0
/zh/oval/101/51/,0,3,0,33.333333333333336,0,0,0,0,0,0,0
/zh/sphere/21/,0,2,0,5.5,0,0,0,0,0,0,0
,0,0,0,0,2,0,0,18,6,0,0
(not set),0,0,0,0,1,0,0,0,4,0,0
/?t=circle&d=13&w=25&h=13&s=outline&b=stone&a=0&g=90&tk=1&in=0&cx=0&cy=64&cz=0&tb=8&dp=13&z=24,0,0,0,0,1,1,1,37,12,0,0
/?t=circle&d=24&w=25&h=13&s=outline&b=oak-planks&a=0&g=90&tk=2&in=0&cx=0&cy=64&cz=0&tb=8&dp=13&z=24,0,0,0,0,1,1,1,10,5,0,0
/?t=circle&d=25&w=25&h=13&s=outline&b=stone&a=0&g=90&tk=1&in=0&cx=0&cy=64&cz=0&tb=8&dp=13&z=24,0,0,0,0,3,1,0.3333333333333333,12,13,0,0
/?t=circle&d=300&w=25&h=13&s=outline&b=stone&a=0&g=90&tk=6&in=0&cx=0&cy=64&cz=0&tb=8&dp=13&z=24,0,0,0,0,1,0,0,19,8,0,0
/it/?t=circle&d=25&w=25&h=13&s=outline&b=stone&a=0&g=90&tk=1&in=0&cx=0&cy=64&cz=0&tb=8&dp=13&z=24,0,0,0,0,1,0,0,0,4,0,0
/tr/?t=circle&d=25&w=25&h=13&s=outline&b=stone&a=0&g=90&tk=1&in=0&cx=0&cy=64&cz=0&tb=8&dp=13&z=24,0,0,0,0,1,1,1,8,6,0,0
/tr/?t=circle&d=33&w=25&h=13&s=outline&b=stone&a=0&g=90&tk=1&in=0&cx=0&cy=64&cz=0&tb=8&dp=13&z=24,0,0,0,0,1,0,0,0,3,0,0
